X,Y,OBJECTID,FORMULARIO,CODIGO_ACCIDENTE,FECHA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,GRAVEDAD,CLASE_ACC,LOCALIDAD
-74.078020994,4.65482224200002,326421,A001132495,10511047,2020/02/13 00:00:00+00,2020,SOLO DANOS,CHOQUE,TEUSAQUILLO
-74.055914087,4.69387615300008,326429,A001133093,10510968,2020/02/13 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.073112895,4.64880606900005,326431,A001133587,10510977,2020/02/13 00:00:00+00,2020,SOLO DANOS,CHOQUE,TEUSAQUILLO
-74.092692853,4.60237128900008,326438,A001132704,10510979,2020/02/13 00:00:00+00,2020,SOLO DANOS,CHOQUE,LOS MARTIRES
-74.112823314,4.65189788500004,326441,A001131778,10510981,2020/02/13 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.04905017,4.68235398800005,326442,A001133305,10510982,2020/02/12 00:00:00+00,2020,SOLO DANOS,CHOQUE,CHAPINERO
-74.121347033,4.72222083300005,326444,A001133452,10510985,2020/02/14 00:00:00+00,2020,SOLO DANOS,CHOQUE,ENGATIVA
-74.128088877,4.60691316000003,326448,A001133424,10510999,2020/02/13 00:00:00+00,2020,CON HERIDOS,CAIDA DE OCUPANTE,PUENTE ARANDA
-74.0937530859999,4.73997680000002,326453,A001132467,10511017,2020/02/14 00:00:00+00,2020,CON HERIDOS,VOLCAMIENTO,SUBA
-74.117647614,4.57061821600007,326454,A001133776,10511018,2020/02/13 00:00:00+00,2020,CON HERIDOS,CHOQUE,RAFAEL URIBE URIBE
-74.050800964,4.66090979700004,354551,A001127971,10514994,2020/01/24 00:00:00+00,2020,CON HERIDOS,CHOQUE,CHAPINERO
-74.0569429349999,4.66005993700003,354552,A001128303,10514995,2020/04/24 00:00:00+00,2020,CON HERIDOS,CHOQUE,ENGATIVA
-74.075866402,4.70827689800007,354553,A001127884,10514997,2020/04/22 00:00:00+00,2020,SOLO DANOS,CHOQUE,SUBA
